54	62	69	0.25
54	64	69	0.25
42	62	66	0.25
42	61	66	0.25
54	59	62	0.25
54	57	62	0.25
52	56	62	0.25
52	58	62	0.25
54	58	61	0.25
52	58	61	0.25
50	58	66	0.25
49	56	66	0.125
49	58	66	0.125
50	59	66	0.25
54	59	66	0.25
52	59	66	0.25
50	59	66	0.25
49	59	68	0.25
47	59	68	0.25
49	59	69	0.25
51	59	73	0.25
51	59	71	0.25
51	59	69	0.25
51	59	68	0.25
49	59	66	0.125
51	59	66	0.125
52	59	68	0.25
55	59	70	0.25
54	59	70	0.25
52	59	70	0.25
50	59	70	0.25
49	59	68	0.125
49	59	70	0.125
51	59	71	0.25
53	59	74	0.25
53	59	73	0.25
53	59	71	0.25
53	59	69	0.25
51	59	68	0.125
53	59	68	0.125
54	59	69	0.25
57	59	71	0.25
56	59	71	0.25
54	59	71	0.25
53	59	71	0.25
51	59	69	0.125
51	59	71	0.125
53	59	73	0.25
56	59	73	0.25
54	59	73	0.25
53	59	73	0.25
51	61	73	0.25
49	61	73	0.25
54	57	73	0.25
54	57	74	0.25
45	54	73	0.25
45	54	71	0.25
49	53	69	0.25
49	53	68	0.25
42	54	69	0.5
42	56	66	0.25
42	57	66	0.25
42	59	65	0.25
42	61	65	0.25
42	62	66	0.25
57	62	66	0.25
47	50	66	0.25
57	50	66	0.25
47	62	71	0.25
56	62	71	0.25
45	61	71	0.25
56	61	71	0.25
45	49	65	0.25
56	49	65	0.25
45	61	66	0.25
54	61	66	0.25
44	59	62	0.25
54	59	62	0.25
53	61	61	0.25
56	59	61	0.25
49	57	61	0.25
53	56	61	0.25
42	57	61	0.25
